"","Port","Quarter","Vessel Rate","Crane Rate","Ship Rate","Containers"
"187","Lyttelton","2018 Q3","48.5","29.5","59.9","70418"
"188","Otago","2018 Q3","52.7","33.3","64.9","24237"
"189","Auckland","2018 Q2","71.41","35.06","80.07","136888"
"190","Tauranga","2018 Q2","62.4","34.5","83.8","201921"
"191","Napier","2018 Q2","39.56","22.06","52.46","52791"
"192","Wellington","2018 Q2","34.34","22.59","38.35","15550"
"193","Lyttelton","2018 Q2","47.3","28.7","58.9","69294"
"194","Otago","2018 Q2","52.9","33","63","35270"
"195","Auckland","2018 Q1","73.08","36.07","81.94","140221"
"196","Tauranga","2018 Q1","69.3","36.5","89.5","180635"
"197","Napier","2018 Q1","40.83","22.16","51.85","43764"
"198","Wellington","2018 Q1","31.71","22.51","36.22","16362"
"199","Lyttelton","2018 Q1","50.6","30.5","63.3","63620"
"200","Otago","2018 Q1","49.9","33","60.9","33996"
"201","Auckland","2017 Q4","71.36","35.45","80.47","151489"
"202","Tauranga","2017 Q4","69.5","36.4","91","194932"
"203","Napier","2017 Q4","41.04","23.49","54.43","33827"
"204","Wellington","2017 Q4","49.59","20.92","55.78","16941"
"205","Lyttelton","2017 Q4","50.1","29.5","60.8","77203"
"206","Otago","2017 Q4","44.9","34.4","62.6","34312"
"207","Auckland","2017 Q3","72.7","35.9","83.5","152526"
"208","Tauranga","2017 Q3","65","35.5","85.2","194177"
"209","Napier","2017 Q3","40.37","23.69","54.85","38594"
"210","Wellington","2017 Q3","","","",""
"211","Lyttelton","2017 Q3","50.5","30.6","61.6","71761"
"212","Otago","2017 Q3","50.2","33.4","60.3","29848"
"213","Auckland","2017 Q2","70.4","34.8","78.5","138519"
"214","Tauranga","2017 Q2","65.7","35.6","84.4","199676"
"215","Napier","2017 Q2","42.4","22.54","56.3","51103"
"216","Wellington","2017 Q2","","","",""
"217","Lyttelton","2017 Q2","46.8","30.1","58.1","67984"
"218","Otago","2017 Q2","50.8","33.4","60.9","34453"
"219","Auckland","2017 Q1","68.66","33.95","76.24","137817"
"220","Tauranga","2017 Q1","73","37.4","93.5","185918"
"221","Napier","2017 Q1","44.78","22.89","59.65","49268"
"222","Wellington","2017 Q1","","","",""
"223","Lyttelton","2017 Q1","47","29.9","58.9","62870"
"224","Otago","2017 Q1","49.9","33","61","30931"
"225","Auckland","2016 Q4","71.4","34.9","79.4","150258"
"226","Tauranga","2016 Q4","70.7","35.9","89.8","187436"
"227","Napier","2016 Q4","40.58","23.77","57.17","36393"
"228","Wellington","2016 Q4","46.2","33.7","52.6","9810"
"229","Lyttelton","2016 Q4","47.7","30.4","58.7","74479"
"230","Otago","2016 Q4","50.6","34.7","61.4","30755"
"231","Auckland","2016 Q3","70.1","35.04","79.36","144537"
"232","Tauranga","2016 Q3","69.7","35.94","88.8","157451"
"233","Napier","2016 Q3","41.23","23.79","57.02","34524"
"234","Wellington","2016 Q3","43.9","32.73","51.3","20030"
"235","Lyttelton","2016 Q3","54.6","33.5","68.1","61111"
"236","Otago","2016 Q3","48.6","33.1","60.8","21956"
"237","Auckland","2016 Q2","72.6","36.17","82.8","134415"
"238","Tauranga","2016 Q2","66.1","35.2","82.9","162986"
"239","Napier","2016 Q2","39.86","22.58","54.9","47018"
"240","Wellington","2016 Q2","42.17","31.2","52","27064"
"241","Lyttelton","2016 Q2","44.5","31.5","55.1","65611"
"242","Otago","2016 Q2","49.4","33","60","34637"
"243","Auckland","2016 Q1","75.02","37.28","85.08","129300"
"244","Tauranga","2016 Q1","66.9","35.7","85.7","149817"
"245","Napier","2016 Q1","40.95","23.13","57.44","42015"
"246","Wellington","2016 Q1","39.4","27.9","46.5","20499"
"247","Lyttelton","2016 Q1","51.5","32.7","62.5","59559"
"248","Otago","2016 Q1","51.2","34","62.5","31238"
"249","Auckland","2015 Q4","72.3","36.1","81.2","142517"
